,Book-Title,Book-Author,Image-URL-M,num_ratings,num_ratings
0,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg,428,428
3,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,387,387
5,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg,278,278
9,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg,347,347
13,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,556,556
16,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg,281,281
17,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg,368,368
26,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,575,575
28,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg,260,260
39,To Kill a Mockingbird,Harper Lee,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,510,510
47,The Da Vinci Code,Dan Brown,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,898,898
53,The Five People You Meet in Heaven,Mitch Albom,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,430,430
55,The Catcher in the Rye,J.D. Salinger,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,449,449
62,The Lovely Bones: A Novel,Alice Sebold,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,1295,1295
63,1984,George Orwell,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,284,284
72,Prodigal Summer: A Novel,Barbara Kingsolver,http://images.amazon.com/images/P/0060959037.01.MZZZZZZZ.jpg,253,253
73,Neverwhere,Neil Gaiman,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg,265,265
78,The Secret Life of Bees,Sue Monk Kidd,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,774,774
84,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,http://images.amazon.com/images/P/0060392452.01.MZZZZZZZ.jpg,283,283
85,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg,493,493
88,The Red Tent (Bestselling Backlist),Anita Diamant,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,723,723
89,The Hitchhiker's Guide to the Galaxy,Douglas Adams,http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg,268,268
98,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg,335,335
100,Into the Wild,Jon Krakauer,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg,252,252
103,Fahrenheit 451,Ray Bradbury,http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg,409,409
116,Girl with a Pearl Earring,Tracy Chevalier,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg,526,526
117,Outlander,DIANA GABALDON,http://images.amazon.com/images/P/0440222915.01.MZZZZZZZ.jpg,283,283
123,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg,585,585
124,Seabiscuit: An American Legend,LAURA HILLENBRAND,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,275,275
126,Life of Pi,Yann Martel,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg,664,664
130,The Bean Trees,Barbara Kingsolver,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg,389,389
133,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,http://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg,265,265
135,ANGELA'S ASHES,Frank McCourt,http://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg,279,279
137,Good in Bed,Jennifer Weiner,http://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg,490,490
139,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,http://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg,321,321
140,American Gods,Neil Gaiman,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,302,302
141,Skipping Christmas,JOHN GRISHAM,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,322,322
147,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,http://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg,318,318
149,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg,336,336
157,The Color Purple,Alice Walker,http://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg,314,314
163,Silence of the Lambs,Thomas Harris,http://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg,256,256
166,About a Boy,Nick Hornby,http://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg,262,262
173,Seven Up (A Stephanie Plum Novel),Janet Evanovich,http://images.amazon.com/images/P/0312265840.01.MZZZZZZZ.jpg,278,278
175,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,http://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg,266,266
177,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,http://images.amazon.com/images/P/0312983867.01.MZZZZZZZ.jpg,269,269
182,Suzanne's Diary for Nicholas,James Patterson,http://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg,457,457
186,Lord of the Flies,William Gerald Golding,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg,259,259
192,A Prayer for Owen Meany,John Irving,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg,413,413
194,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,http://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg,301,301
195,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,http://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg,356,356
